post_id,image_ID,comments_count,likes_count,followers,author_name,caption,date,year,month,day,category,labels
diipakhosla_1908495_3038758805160691174_6162_62,2023-02-15_13-38-20_UTC_2.jpg,62,6162,0,diipakhosla,"Love at first sniff 💕 @olegbuller and I've been on the hunt for the ultimate scent and finally found it in #BOSSTheScent Magnetic! Get ready to experience the power of attraction!
@boss #BeYourOwnBOSS @theperfumeshop",2023-02-1,2023,2,1,Core Influencers,"Skin,Lip,Hand,Eyebrow,Bottle,Organ,Eyelash,Fluid,Alcoholic beverage,Liquid,"
diipakhosla_1908495_3038758805160691174_6162_62,2023-02-15_13-38-20_UTC_3.jpg,62,6162,0,diipakhosla,"Love at first sniff 💕 @olegbuller and I've been on the hunt for the ultimate scent and finally found it in #BOSSTheScent Magnetic! Get ready to experience the power of attraction!
@boss #BeYourOwnBOSS @theperfumeshop",2023-02-1,2023,2,1,Core Influencers,"Hand,Fluid,Finger,Camera accessory,Communication Device,Nail,Drink,Alcoholic beverage,Wrist,Thumb,"
yasminkarachiwala_1062568_3059783891875022417_1002_26,2023-03-16_13-51-25_UTC.jpg,26,1002,0,yasminkarachiwala,"We're thrilled to welcome Bollywood's Best Pilates Coach Yasmin Karachiwala to the QNT family!
 With her expertise and our premium nutrition, we're here to take your fitness game to the next level. 
Join the health bandwagon with Yasmin and QNT. Stay tuned!

#yasminkarachiwala #bollywoofitness #celebrityfitness #pilates #pilateslover #webuildchampions",2023-03-1,2023,3,1,Core Influencers,"Red,Smile,Microphone,Font,Thigh,Advertising,Event,Poster,Luggage and bags,Brand,"
diipakhosla_1908495_3017624535931540790_30993_55,2023-01-17_09-48-18_UTC_1.jpg,55,30993,0,diipakhosla,"10 random images of the past 10 years. 

With 2023, I welcome the new but there’s so much I’m grateful for staying the same. 

My desire to empower my community, to stay connected to my roots, to grow with my family and the individuals that help me achieve my wildest dreams, are all things I want to take with me. 

The changes that have entered my life over the past couple of years, like becoming a mother to the most beautiful vibrant daughter and launching inde wild as an act of honoring all that my mother has taught me, and all the opportunities and challenges I’ve embraced, remind me that the change that is yet to come will also be filled with beauty. 

I can’t wait for what 2023 has in store for all of us. 🫶🏽

(Photos in order of most recent to oldest. I was 21 in the last pic 🥹🤯)",2023-01-1,2023,1,1,Core Influencers,"Outerwear,Smile,Plant,People in nature,Tree,Happy,Yellow,Gesture,Cap,Grass,"
diipakhosla_1908495_3017624535931540790_30993_55,2023-01-17_09-48-18_UTC_10.jpg,55,30993,0,diipakhosla,"10 random images of the past 10 years. 

With 2023, I welcome the new but there’s so much I’m grateful for staying the same. 

My desire to empower my community, to stay connected to my roots, to grow with my family and the individuals that help me achieve my wildest dreams, are all things I want to take with me. 

The changes that have entered my life over the past couple of years, like becoming a mother to the most beautiful vibrant daughter and launching inde wild as an act of honoring all that my mother has taught me, and all the opportunities and challenges I’ve embraced, remind me that the change that is yet to come will also be filled with beauty. 

I can’t wait for what 2023 has in store for all of us. 🫶🏽

(Photos in order of most recent to oldest. I was 21 in the last pic 🥹🤯)",2023-01-1,2023,1,1,Core Influencers,"Smile,Mortarboard,Tree,Scholar,Academic dress,Happy,Gesture,Headgear,Graduation,Hat,"
diipakhosla_1908495_3017624535931540790_30993_55,2023-01-17_09-48-18_UTC_2.jpg,55,30993,0,diipakhosla,"10 random images of the past 10 years. 

With 2023, I welcome the new but there’s so much I’m grateful for staying the same. 

My desire to empower my community, to stay connected to my roots, to grow with my family and the individuals that help me achieve my wildest dreams, are all things I want to take with me. 

The changes that have entered my life over the past couple of years, like becoming a mother to the most beautiful vibrant daughter and launching inde wild as an act of honoring all that my mother has taught me, and all the opportunities and challenges I’ve embraced, remind me that the change that is yet to come will also be filled with beauty. 

I can’t wait for what 2023 has in store for all of us. 🫶🏽

(Photos in order of most recent to oldest. I was 21 in the last pic 🥹🤯)",2023-01-1,2023,1,1,Core Influencers,"Sky,Cloud,People in nature,Mountain,Shorts,Plant,Flash photography,Happy,Outdoor recreation,Knee,"
diipakhosla_1908495_3017624535931540790_30993_55,2023-01-17_09-48-18_UTC_3.jpg,55,30993,0,diipakhosla,"10 random images of the past 10 years. 

With 2023, I welcome the new but there’s so much I’m grateful for staying the same. 

My desire to empower my community, to stay connected to my roots, to grow with my family and the individuals that help me achieve my wildest dreams, are all things I want to take with me. 

The changes that have entered my life over the past couple of years, like becoming a mother to the most beautiful vibrant daughter and launching inde wild as an act of honoring all that my mother has taught me, and all the opportunities and challenges I’ve embraced, remind me that the change that is yet to come will also be filled with beauty. 

I can’t wait for what 2023 has in store for all of us. 🫶🏽

(Photos in order of most recent to oldest. I was 21 in the last pic 🥹🤯)",2023-01-1,2023,1,1,Core Influencers,"Smile,Trousers,Facial expression,People in nature,Plant,Happy,Orange,Flash photography,Gesture,Red,"
diipakhosla_1908495_3017624535931540790_30993_55,2023-01-17_09-48-18_UTC_4.jpg,55,30993,0,diipakhosla,"10 random images of the past 10 years. 

With 2023, I welcome the new but there’s so much I’m grateful for staying the same. 

My desire to empower my community, to stay connected to my roots, to grow with my family and the individuals that help me achieve my wildest dreams, are all things I want to take with me. 

The changes that have entered my life over the past couple of years, like becoming a mother to the most beautiful vibrant daughter and launching inde wild as an act of honoring all that my mother has taught me, and all the opportunities and challenges I’ve embraced, remind me that the change that is yet to come will also be filled with beauty. 

I can’t wait for what 2023 has in store for all of us. 🫶🏽

(Photos in order of most recent to oldest. I was 21 in the last pic 🥹🤯)",2023-01-1,2023,1,1,Core Influencers,"Dog,Dog breed,Comfort,Carnivore,Mammal,Companion dog,Fawn,Scent hound,Flooring,Liver,"
diipakhosla_1908495_3017624535931540790_30993_55,2023-01-17_09-48-18_UTC_5.jpg,55,30993,0,diipakhosla,"10 random images of the past 10 years. 

With 2023, I welcome the new but there’s so much I’m grateful for staying the same. 

My desire to empower my community, to stay connected to my roots, to grow with my family and the individuals that help me achieve my wildest dreams, are all things I want to take with me. 

The changes that have entered my life over the past couple of years, like becoming a mother to the most beautiful vibrant daughter and launching inde wild as an act of honoring all that my mother has taught me, and all the opportunities and challenges I’ve embraced, remind me that the change that is yet to come will also be filled with beauty. 

I can’t wait for what 2023 has in store for all of us. 🫶🏽

(Photos in order of most recent to oldest. I was 21 in the last pic 🥹🤯)",2023-01-1,2023,1,1,Core Influencers,"Face,Smile,Skin,Sleeve,Happy,Gesture,Baby,Formal wear,One-piece garment,Bridal clothing,"
diipakhosla_1908495_3017624535931540790_30993_55,2023-01-17_09-48-18_UTC_6.jpg,55,30993,0,diipakhosla,"10 random images of the past 10 years. 

With 2023, I welcome the new but there’s so much I’m grateful for staying the same. 

My desire to empower my community, to stay connected to my roots, to grow with my family and the individuals that help me achieve my wildest dreams, are all things I want to take with me. 

The changes that have entered my life over the past couple of years, like becoming a mother to the most beautiful vibrant daughter and launching inde wild as an act of honoring all that my mother has taught me, and all the opportunities and challenges I’ve embraced, remind me that the change that is yet to come will also be filled with beauty. 

I can’t wait for what 2023 has in store for all of us. 🫶🏽

(Photos in order of most recent to oldest. I was 21 in the last pic 🥹🤯)",2023-01-1,2023,1,1,Core Influencers,"Cloud,Water,Sky,Azure,Boat,Window,Laptop,Travel,Leisure,Comfort,"
diipakhosla_1908495_3017624535931540790_30993_55,2023-01-17_09-48-18_UTC_7.jpg,55,30993,0,diipakhosla,"10 random images of the past 10 years. 

With 2023, I welcome the new but there’s so much I’m grateful for staying the same. 

My desire to empower my community, to stay connected to my roots, to grow with my family and the individuals that help me achieve my wildest dreams, are all things I want to take with me. 

The changes that have entered my life over the past couple of years, like becoming a mother to the most beautiful vibrant daughter and launching inde wild as an act of honoring all that my mother has taught me, and all the opportunities and challenges I’ve embraced, remind me that the change that is yet to come will also be filled with beauty. 

I can’t wait for what 2023 has in store for all of us. 🫶🏽

(Photos in order of most recent to oldest. I was 21 in the last pic 🥹🤯)",2023-01-1,2023,1,1,Core Influencers,"Hair,Joint,Smile,Comfort,Muscle,Mammal,Happy,Thigh,Fun,Leisure,"
